Id_Equipo_Area;Nombre_Equipo_Area;Id_Equipo_Viceprecidencia 
CLS53000361;MANTENIMIENTO LINEAS Y SUBESTACIONES ;CLS80000008
CLS53000012;LOGISTICA NACIONAL ;CLS80000005
CLS51000814;CENTRAL HIDRAULICA ALTO Y BAJO ANCHICAYA ;CLS80000006
CLS53000296;CANALES PROPIOS ;CLS80000004
CLS51000505;RIESGOS Y SEGUROS ;CLS80000005
CLS51000701;SERVICIO AL CLIENTE ;CLS80000004
CLS53000283;RIESGOS ;CLS80000005
CLS53000466;EXPERIENCIA DEL COLABORADOR Y CULTURA ;CLS80000007
CLS51000893;PROYECTO NOVA ;CLS80000008
CLS53000589;CENTRAL GENERACION ;CLS80000006
CLS51000704;SISTEMAS FOTOVOLTAICOS ;CLS80000008
CLS53000572;CONTROL DE ENERGIA ;CLS80000008
CLS53000344;CENTRO DE CONTROL ;CLS80000008
CLS53000396;LABORATORIO DE MEDIDORES ;CLS80000008
CLS53000291;REGIONAL VALLE ;CLS80000004
CLS53000575;MANTENIMIENTO ZONA VALLE SUR ;CLS80000008
CLS51000485;COMUNICACIONES ;CLS80000002
CLS51000859;EVALUACION DEL MANTENIMIENTO TYD ;CLS80000008
CLS53000270;FINANZAS DE PRODUCTO ;CLS80000005
CLS53000273;MANTENIMIENTO REDES Y SUBESTACIONES ZONA ;CLS80000008
CLS53000504;ASUNTOS LABORALES CA ;CLS80000009
CLS53000067;SUPERVISION DE TURNO III ;CLS80000009
CLS53000069;MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO DMA ;CLS80000009
CLS53000525;FINANZAS ;CLS80000022
CLS53000418;MERCADOS FINANCIEROS ;CLS80000005
CLS53000497;CONTROL QUIMICO ;CLS80000009
CLS53000072;MANTENIMIENTO MECANICO DMA ;CLS80000009
CLS53000214;MANTENIMIENTO ELECTROMECANICO CENTRALES ;CLS80000009
CLS52000023;COMPLEJO HIDRICO CHIRIQUI ;CLS80000009
CLS52000010;PLANEACION FINANCIERA ;CLS80000005
CLS53000496;SUPERVISION DE TURNO ;CLS80000009
CLS52000020;LEGAL ;CLS80000009
CLS53000498;SUPERVISION DE TURNO ;CLS80000009
CLS53000413;TECNICO PRODUCTOS ;CLS80000009
CLS53000494;COMPLEJO TERMICO COLON ;CLS80000009
CLS53000087;COMERCIAL NUEVOS NEGOCIOS ;CLS80000009
CLS51000552;CELSIA CENTROAMERICA ;CLS80000009
CLS53000495;SUPERVISION DE TURNO ;CLS80000009
CLS53000411;OPERACIONES Y MANTENIMIENTO ;CLS80000009
CLS53000351;MANTENIMIENTO ME ;CLS80000006
CLS53000469;OPERACION CENTRALES TERMICAS ;CLS80000006
CLS53000621;GESTION DE LA MEDIDA ENERBIT ;CLS80000022
CLS53000081;SUPERVISION TURNO IV CTC ;CLS80000009
CLS53000052;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA ;CLS80000009
CLS51000486;PROYECTOS GENERACION ;CLS80000001
CLS52000036;PLANTA EOLICA GUANACASTE ;CLS80000009
CLS53000092;OPERACIONES Y MANTENIMIENTO ;CLS80000009
CLS52000010;PLANEACION FINANCIERA ;CLS80000009
CLS53000339;SUPERVISION DE TURNO ;CLS80000009
CLS52000031;CONTROL QUIMICO ;CLS80000009
CLS51000667;GENERACION HIDRAULICA ;CLS80000006
CLS53000061;NUEVOS NEGOCIOS PAIS ;CLS80000009
CLS53000036;OBRAS CIVILES PROYECTOS GENERACION ;CLS80000006
CLS51000913;RECURSOS TERMICAS ;CLS80000006
CLS51000771;MANTENIMIENTO TERMICAS ;CLS80000006
CLS53000501;MANTENIMIENTO MECANICO COMPLEJO TERMICO COLON ;CLS80000009
CLS53000548;EQUIPOS ELECTRICOS PROYECTOS ;CLS80000006
CLS53000371;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS53000597;OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION ;CLS80000006
CLS53000556;DESARROLLO LOGISTICO ;CLS80000005
CLS53000604;HIDROGENO ;CLS80000021
CLS51000754;OPERACIONES COMERCIALES ;CLS80000004
CLS53000246;ACTIVOS FIJOS ;CLS80000005
CLS53000231;PLANEACION MANTENIMIENTO LINEAS REDES Y UIETD ;CLS80000008
CLS53000617;VENTAS Y OPERACIONES RETAIL ;CLS80000004
CLS53000031;CRECIMIENTO RED ;CLS80000008
CLS53000196;MANTENIMIENTO INSTRUMENTACION CENTRALES GENERACION ;CLS80000006
CLS53000232;PLANEACION DEL MANTENIMIENTO TYD ;CLS80000008
CLS53000318;INTERNET ;CLS80000007
CLS53000512;DISEÑO Y CONSTRUCCION INTERNET ;CLS80000007
CLS53000587;GESTION TECNICA GENERACION HIDRAULICA Y EOLICA ;CLS80000006
CLS51000773;OPERACION TERMICA ;CLS80000006
CLS53000350;GENERACION TERMICA ;CLS80000006
CLS51000775;COMERCIO EXTERIOR Y ZONA FRANCA ;CLS80000005
CLS51000816;CENTRAL HIDRAULICA PRADO Y CUCUANA ;CLS80000006
CLS51000329;PROTECCION DE RECURSOS ;CLS80000007
CLS51000703;SOCIOAMBIENTAL ;CLS80000006
CLS51000858;PMO TYD ;CLS80000008
CLS51000659;MANTENIMIENTO TYD ;CLS80000008
CLS53000279;CIUDADES Y EMPRESAS ;CLS80000004
CLS53000505;INTELIGENCIA COMPETITIVA ;CLS80000004
CLS51000658;GESTION TYD ;CLS80000008
CLS51000798;COMUNICACIONES MARCA ;CLS80000002
CLS53000030;ATRACCION CULTURA Y DESARROLLO DEL TALENTO ;CLS80000007
CLS53000403;SOCIOAMBIENTAL TYD ;CLS80000008
CLS51000815;CENTRAL HIDRAULICA CALIMA ;CLS80000006
CLS53000395;GESTION MEDIDA Y PERDIDAS ;CLS80000008
CLS51000864;MANTENIMIENTO TYD ZONA VALLE NORTE ;CLS80000008
CLS51000669;EMPRESAS ;CLS80000004
CLS51000809;GESTION CONTRATISTAS ;CLS80000007
CLS53000006;COMPRAS CORPORATIVAS ;CLS80000005
CLS51000863;MANTENIMIENTO TYD ZONA CARIBE ;CLS80000008
CLS53000298;SERVICIO HOGAR MAS ;CLS80000004
CLS53000378;MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA ;CLS80000006
CLS53000474;DESARROLLO DE SOLUCIONES TECNOLOGIA ;CLS80000007
CLS51000480;DESARROLLO DE NEGOCIOS ;CLS80000005
CLS53000536;PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA ;CLS80000006
CLS50000056;ASUNTOS CORPORATIVOS ;CLS80000002
CLS53000607;MANTENIMIENTO ACUEDUCTOS Y SANEAMIENTO ;CLS80000006
CLS53000352;GESTION RECURSOS CENTRAL TERMICA ;CLS80000006
CLS50000059;TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES ;CLS80000007
CLS51000728;EXPERIENCIA DE CLIENTES ;CLS80000004
CLS51000483;GESTION CONTABLE ;CLS80000005
CLS51000490;CENTRALES HIDRAULICAS MENORES ;CLS80000006
CLS51000486;PROYECTOS GENERACION ;CLS80000006
CLS51000151;CONTABILIDAD E IMPUESTOS ;CLS80000005
CLS53000033;PROYECTOS SOCIALES DE GENERACION ;CLS80000006
CLS50000062;GENERACION TERMICA ;CLS80000006
CLS53000487;MANTENIMIENTO MECANICO TERMICAS ;CLS80000006
CLS53000591;MANTENIMIENTOS MAYORES CENTRALES GENERACION ;CLS80000006
CLS51000850;ARQUITECTURA Y DIGITAL ;CLS80000007
CLS53000028;PROYECTOS GENERACION EOLICA ;CLS80000006
CLS51000336;BIENES INMUEBLES Y SERVICIOS ADMTIVOS ;CLS80000007
CLS53000423;GESTION TECNICA TERMICAS ;CLS80000006
CLS53000261;MANTENIMIENTO ZONA TOLIMA SUR ;CLS80000008
CLS51000576;COMERCIAL ;CLS80000004
CLS51000276;CADENA DE ABASTECIMIENTO ;CLS80000005
CLS53000089;BIENES INMUEBLES I ;CLS80000007
CLS53000260;MANTENIMIENTO TYD ZONA ;CLS80000008
CLS53000387;GESTION MANTENIMIENTO CENTRALES ;CLS80000006
CLS53000530;SOCIOAMBIENTAL CORPORATIVO ;CLS80000002
CLS53000511;DESEMPEÑO TECNOLOGIA ;CLS80000007
CLS53000554;ESTRATEGIA TECNOLOGIA ;CLS80000007
